"Timestamp","How many cigarette packs they were buying?","Did they buy the Marlboro Cigarettes?","Did you tell them about the Discount?","Did they know about discount before you told them?","Did they buy two Marlboro Cigarettes' after you tell them about the offer?","Were they new customer?","How many Marlboro Cigarettes' they bought in total? ","Comments"
"2021/03/20 3:42:25 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:01:32 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:01:40 PM AST","1","No","","","","","","Appreciated "
"2021/03/20 5:18:42 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:18:48 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:23:27 PM AST","2","No","","","","","","Neutral "
"2021/03/20 5:29:58 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:30:07 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:50:00 PM AST","1","No","","","","","","Neutral "
"2021/03/20 5:50:34 PM AST","4 and more","Yes","Yes","No","Yes","Yes","4 and more","Grumpy,sad,unhappy "
"2021/03/20 6:21:40 PM AST","2","Yes","Yes","Yes","Yes","No","2","Neutral "
"2021/03/20 6:41:28 PM AST","1","No","","","","","","Neutral "
"2021/03/20 6:48:28 PM AST","2","Yes","Yes","Yes","Yes","No","2","Happy "
"2021/03/20 6:51:42 PM AST","1","No","","","","","","Neutral "
"2021/03/20 6:51:57 PM AST","1","Yes","Yes","Yes","No","No","1","Happy "
"2021/03/20 7:22:23 PM AST","2","No","","","","","","Neutral "
"2021/03/20 7:40:55 PM AST","1","No","","","","","","Weird, "
"2021/03/20 8:07:44 PM AST","2","No","","","","","","Happy "
"2021/03/20 8:08:06 PM AST","1","Yes","Yes","Yes","No","No","1","Not my money "
"2021/03/20 8:24:03 PM AST","2","Yes","Yes","Yes","Yes","Yes","2","Happy "
"2021/03/20 8:24:08 PM AST","1","No","","","","","","Neutral "
"2021/03/20 9:01:02 PM AST","1","No","","","","","","Neutral "
"2021/03/20 9:01:16 PM AST","1","No","","","","","","Neutral "
"2021/03/20 9:01:33 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/20 11:18:58 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/20 11:19:04 PM AST","2","No","","","","","","Neutral "
"2021/03/20 11:19:12 PM AST","1","No","","","","","","Neutral "
"2021/03/20 11:37:42 PM AST","1","No","","","","","","Neutral "
"2021/03/20 11:37:55 PM AST","1","Yes","Yes","No","Yes","Yes","2","Neutral "
"2021/03/21 2:01:40 AM AST","1","No","","","","","","Neutral "
"2021/03/21 2:01:47 AM AST","2","No","","","","","","Irritated "
"2021/03/21 2:44:44 AM AST","1","Yes","Yes","Yes","Yes","Yes","2","Happy "
